YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEUBIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2017,Q4,10,5,LK,GB,Heathrow,GB,GB,LK,Sri Lanka,GB,CVEDP,No,Human Consumption,1412,1263.8,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3063390,03022980|03024600|03028590|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Portunus Pelagicus,Acanthopagrus Spp|Brachirus Orientalis|Caranx Spp|Chanos Chanos|Eleutheronema Spp|Epinephelus Spp|Gymnocranius Griseus|Lates Calcarifer|Leiognathus Spp|Lethrinus Spp|Liza Spp|Loligo Spp|Lutjanus Rivulatus|Nemipterus Japonicus|Otra Pesca|Pampus Argenteus|Penaeus Indicus|Portunus Pelagicus|Rachycentron Canadum|Scomberomorus Spp|Selaroides Leptolepis|Sillago Sihama|Sphyraena Spp,-
2017,Q4,10,5,LK,GB,Heathrow,GB,GB,LK,Sri Lanka,GB,CVEDP,No,Human Consumption,1412,1263.8,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3063690,03022980|03024600|03028590|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Penaeus Indicus,Acanthopagrus Spp|Brachirus Orientalis|Caranx Spp|Chanos Chanos|Eleutheronema Spp|Epinephelus Spp|Gymnocranius Griseus|Lates Calcarifer|Leiognathus Spp|Lethrinus Spp|Liza Spp|Loligo Spp|Lutjanus Rivulatus|Nemipterus Japonicus|Otra Pesca|Pampus Argenteus|Penaeus Indicus|Portunus Pelagicus|Rachycentron Canadum|Scomberomorus Spp|Selaroides Leptolepis|Sillago Sihama|Sphyraena Spp,-
2017,Q4,10,5,LK,GB,Heathrow,GB,GB,LK,Sri Lanka,GB,CVEDP,No,Human Consumption,1412,1263.8,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3074220,03022980|03024600|03028590|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Loligo Spp,Acanthopagrus Spp|Brachirus Orientalis|Caranx Spp|Chanos Chanos|Eleutheronema Spp|Epinephelus Spp|Gymnocranius Griseus|Lates Calcarifer|Leiognathus Spp|Lethrinus Spp|Liza Spp|Loligo Spp|Lutjanus Rivulatus|Nemipterus Japonicus|Otra Pesca|Pampus Argenteus|Penaeus Indicus|Portunus Pelagicus|Rachycentron Canadum|Scomberomorus Spp|Selaroides Leptolepis|Sillago Sihama|Sphyraena Spp,-
2017,Q4,10,5,BR,GB,Stansted,GB,GB,BR,Brazil,GB,CVEDP,No,Human Consumption,8,7.5,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-06,2017,Q4,10,6,21069098,21069098,Apis Melifera,Apis Melifera,-
2017,Q4,10,5,IN,GB,Heathrow,GB,GB,IN,India,GB,CVEDP,No,Human Consumption,1250,945,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3024600,03024600|03024990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Rachycentron Canadum,Epinephelus Spp|Leiognathus Spp|Lethrinus Spp|Loligo Spp|Lutjanus Spp|Mugil Cephalus|Pampus Spp|Pampus Spp|Penaeus Spp|Portunus Spp|Rachycentron Canadum|Rastrelliger Spp|Sciaenidae|Serranidae|Stolephorus Spp,-
2017,Q4,10,5,IN,GB,Heathrow,GB,GB,IN,India,GB,CVEDP,No,Human Consumption,1250,945,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3024990,03024600|03024990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Pampus Spp,Epinephelus Spp|Leiognathus Spp|Lethrinus Spp|Loligo Spp|Lutjanus Spp|Mugil Cephalus|Pampus Spp|Pampus Spp|Penaeus Spp|Portunus Spp|Rachycentron Canadum|Rastrelliger Spp|Sciaenidae|Serranidae|Stolephorus Spp,-
2017,Q4,10,5,IN,GB,Heathrow,GB,GB,IN,India,GB,CVEDP,No,Human Consumption,1250,945,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03024990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Epinephelus Spp,Epinephelus Spp|Leiognathus Spp|Lethrinus Spp|Loligo Spp|Lutjanus Spp|Mugil Cephalus|Pampus Spp|Pampus Spp|Penaeus Spp|Portunus Spp|Rachycentron Canadum|Rastrelliger Spp|Sciaenidae|Serranidae|Stolephorus Spp,-
2017,Q4,10,5,IN,GB,Heathrow,GB,GB,IN,India,GB,CVEDP,No,Human Consumption,1250,945,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03024990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Leiognathus Spp,Epinephelus Spp|Leiognathus Spp|Lethrinus Spp|Loligo Spp|Lutjanus Spp|Mugil Cephalus|Pampus Spp|Pampus Spp|Penaeus Spp|Portunus Spp|Rachycentron Canadum|Rastrelliger Spp|Sciaenidae|Serranidae|Stolephorus Spp,-
2017,Q4,10,5,IN,GB,Heathrow,GB,GB,IN,India,GB,CVEDP,No,Human Consumption,1250,945,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03024990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Lethrinus Spp,Epinephelus Spp|Leiognathus Spp|Lethrinus Spp|Loligo Spp|Lutjanus Spp|Mugil Cephalus|Pampus Spp|Pampus Spp|Penaeus Spp|Portunus Spp|Rachycentron Canadum|Rastrelliger Spp|Sciaenidae|Serranidae|Stolephorus Spp,-
2017,Q4,10,5,IN,GB,Heathrow,GB,GB,IN,India,GB,CVEDP,No,Human Consumption,1250,945,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03024990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Lutjanus Spp,Epinephelus Spp|Leiognathus Spp|Lethrinus Spp|Loligo Spp|Lutjanus Spp|Mugil Cephalus|Pampus Spp|Pampus Spp|Penaeus Spp|Portunus Spp|Rachycentron Canadum|Rastrelliger Spp|Sciaenidae|Serranidae|Stolephorus Spp,-
2017,Q4,10,5,IN,GB,Heathrow,GB,GB,IN,India,GB,CVEDP,No,Human Consumption,1250,945,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03024990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Mugil Cephalus,Epinephelus Spp|Leiognathus Spp|Lethrinus Spp|Loligo Spp|Lutjanus Spp|Mugil Cephalus|Pampus Spp|Pampus Spp|Penaeus Spp|Portunus Spp|Rachycentron Canadum|Rastrelliger Spp|Sciaenidae|Serranidae|Stolephorus Spp,-
2017,Q4,10,5,IN,GB,Heathrow,GB,GB,IN,India,GB,CVEDP,No,Human Consumption,1250,945,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03024990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Pampus Spp,Epinephelus Spp|Leiognathus Spp|Lethrinus Spp|Loligo Spp|Lutjanus Spp|Mugil Cephalus|Pampus Spp|Pampus Spp|Penaeus Spp|Portunus Spp|Rachycentron Canadum|Rastrelliger Spp|Sciaenidae|Serranidae|Stolephorus Spp,-
2017,Q4,10,5,IN,GB,Heathrow,GB,GB,IN,India,GB,CVEDP,No,Human Consumption,1250,945,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03024990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Rastrelliger Spp,Epinephelus Spp|Leiognathus Spp|Lethrinus Spp|Loligo Spp|Lutjanus Spp|Mugil Cephalus|Pampus Spp|Pampus Spp|Penaeus Spp|Portunus Spp|Rachycentron Canadum|Rastrelliger Spp|Sciaenidae|Serranidae|Stolephorus Spp,-
2017,Q4,10,5,IN,GB,Heathrow,GB,GB,IN,India,GB,CVEDP,No,Human Consumption,1250,945,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03024990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Sciaenidae,Epinephelus Spp|Leiognathus Spp|Lethrinus Spp|Loligo Spp|Lutjanus Spp|Mugil Cephalus|Pampus Spp|Pampus Spp|Penaeus Spp|Portunus Spp|Rachycentron Canadum|Rastrelliger Spp|Sciaenidae|Serranidae|Stolephorus Spp,-
2017,Q4,10,5,IN,GB,Heathrow,GB,GB,IN,India,GB,CVEDP,No,Human Consumption,1250,945,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03024990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Serranidae,Epinephelus Spp|Leiognathus Spp|Lethrinus Spp|Loligo Spp|Lutjanus Spp|Mugil Cephalus|Pampus Spp|Pampus Spp|Penaeus Spp|Portunus Spp|Rachycentron Canadum|Rastrelliger Spp|Sciaenidae|Serranidae|Stolephorus Spp,-
2017,Q4,10,5,IN,GB,Heathrow,GB,GB,IN,India,GB,CVEDP,No,Human Consumption,1250,945,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03024990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Stolephorus Spp,Epinephelus Spp|Leiognathus Spp|Lethrinus Spp|Loligo Spp|Lutjanus Spp|Mugil Cephalus|Pampus Spp|Pampus Spp|Penaeus Spp|Portunus Spp|Rachycentron Canadum|Rastrelliger Spp|Sciaenidae|Serranidae|Stolephorus Spp,-
2017,Q4,10,5,IN,GB,Heathrow,GB,GB,IN,India,GB,CVEDP,No,Human Consumption,1250,945,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3063390,03024600|03024990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Portunus Spp,Epinephelus Spp|Leiognathus Spp|Lethrinus Spp|Loligo Spp|Lutjanus Spp|Mugil Cephalus|Pampus Spp|Pampus Spp|Penaeus Spp|Portunus Spp|Rachycentron Canadum|Rastrelliger Spp|Sciaenidae|Serranidae|Stolephorus Spp,-
2017,Q4,10,5,IN,GB,Heathrow,GB,GB,IN,India,GB,CVEDP,No,Human Consumption,1250,945,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3063690,03024600|03024990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Penaeus Spp,Epinephelus Spp|Leiognathus Spp|Lethrinus Spp|Loligo Spp|Lutjanus Spp|Mugil Cephalus|Pampus Spp|Pampus Spp|Penaeus Spp|Portunus Spp|Rachycentron Canadum|Rastrelliger Spp|Sciaenidae|Serranidae|Stolephorus Spp,-
2017,Q4,10,5,IN,GB,Heathrow,GB,GB,IN,India,GB,CVEDP,No,Human Consumption,1250,945,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3074220,03024600|03024990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03063390|03063690|03074220,Loligo Spp,Epinephelus Spp|Leiognathus Spp|Lethrinus Spp|Loligo Spp|Lutjanus Spp|Mugil Cephalus|Pampus Spp|Pampus Spp|Penaeus Spp|Portunus Spp|Rachycentron Canadum|Rastrelliger Spp|Sciaenidae|Serranidae|Stolephorus Spp,-
2017,Q4,10,5,NI,GB,London Gateway,GB,GB,NI,Nicaragua,GB,CVEDP,No,Human Consumption,22626,18000,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-11,2017,Q4,10,11,3061792,3061792,Penaeus (Litopenaeus) Vannamei,Penaeus (Litopenaeus) Vannamei,-
2017,Q4,10,5,LK,GB,Heathrow,GB,GB,LK,Sri Lanka,GB,CVEDP,No,Human Consumption,2865.5,2383,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3024600,03024600|03028180|03028590|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03044990|03063390|03074220,Rachycentron Canadum,Acanthopagrus Spp|Acanthurus Monroviae|Carangidae|Caranx Spp|Chanos Chanos|Istiophorus Platypterus|Lates Calcarifer|Lethrinus Spp|Loligo Spp|Mullus Barbatus|Nemipterus Japonicus|Ocyurus Chrysurus|Otra Pesca|Parupeneus Indicus|Portunus Pelagicus|Rachycentron Canadum|Rastrelliger Kanagurta|Rhizoprionodon Acutus|Scomberomorus Spp|Selaroides Leptolepis|Sillago Sihama|Sphyraena Spp|Stolephorus Indicus,-
2017,Q4,10,5,LK,GB,Heathrow,GB,GB,LK,Sri Lanka,GB,CVEDP,No,Human Consumption,2865.5,2383,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028180,03024600|03028180|03028590|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03044990|03063390|03074220,Rhizoprionodon Acutus,Acanthopagrus Spp|Acanthurus Monroviae|Carangidae|Caranx Spp|Chanos Chanos|Istiophorus Platypterus|Lates Calcarifer|Lethrinus Spp|Loligo Spp|Mullus Barbatus|Nemipterus Japonicus|Ocyurus Chrysurus|Otra Pesca|Parupeneus Indicus|Portunus Pelagicus|Rachycentron Canadum|Rastrelliger Kanagurta|Rhizoprionodon Acutus|Scomberomorus Spp|Selaroides Leptolepis|Sillago Sihama|Sphyraena Spp|Stolephorus Indicus,-
2017,Q4,10,5,LK,GB,Heathrow,GB,GB,LK,Sri Lanka,GB,CVEDP,No,Human Consumption,2865.5,2383,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028590,03024600|03028180|03028590|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03044990|03063390|03074220,Acanthopagrus Spp,Acanthopagrus Spp|Acanthurus Monroviae|Carangidae|Caranx Spp|Chanos Chanos|Istiophorus Platypterus|Lates Calcarifer|Lethrinus Spp|Loligo Spp|Mullus Barbatus|Nemipterus Japonicus|Ocyurus Chrysurus|Otra Pesca|Parupeneus Indicus|Portunus Pelagicus|Rachycentron Canadum|Rastrelliger Kanagurta|Rhizoprionodon Acutus|Scomberomorus Spp|Selaroides Leptolepis|Sillago Sihama|Sphyraena Spp|Stolephorus Indicus,-
2017,Q4,10,5,LK,GB,Heathrow,GB,GB,LK,Sri Lanka,GB,CVEDP,No,Human Consumption,2865.5,2383,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03028180|03028590|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03044990|03063390|03074220,Acanthurus Monroviae,Acanthopagrus Spp|Acanthurus Monroviae|Carangidae|Caranx Spp|Chanos Chanos|Istiophorus Platypterus|Lates Calcarifer|Lethrinus Spp|Loligo Spp|Mullus Barbatus|Nemipterus Japonicus|Ocyurus Chrysurus|Otra Pesca|Parupeneus Indicus|Portunus Pelagicus|Rachycentron Canadum|Rastrelliger Kanagurta|Rhizoprionodon Acutus|Scomberomorus Spp|Selaroides Leptolepis|Sillago Sihama|Sphyraena Spp|Stolephorus Indicus,-
2017,Q4,10,5,LK,GB,Heathrow,GB,GB,LK,Sri Lanka,GB,CVEDP,No,Human Consumption,2865.5,2383,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03028180|03028590|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03044990|03063390|03074220,Carangidae,Acanthopagrus Spp|Acanthurus Monroviae|Carangidae|Caranx Spp|Chanos Chanos|Istiophorus Platypterus|Lates Calcarifer|Lethrinus Spp|Loligo Spp|Mullus Barbatus|Nemipterus Japonicus|Ocyurus Chrysurus|Otra Pesca|Parupeneus Indicus|Portunus Pelagicus|Rachycentron Canadum|Rastrelliger Kanagurta|Rhizoprionodon Acutus|Scomberomorus Spp|Selaroides Leptolepis|Sillago Sihama|Sphyraena Spp|Stolephorus Indicus,-
2017,Q4,10,5,LK,GB,Heathrow,GB,GB,LK,Sri Lanka,GB,CVEDP,No,Human Consumption,2865.5,2383,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03028180|03028590|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03044990|03063390|03074220,Caranx Spp,Acanthopagrus Spp|Acanthurus Monroviae|Carangidae|Caranx Spp|Chanos Chanos|Istiophorus Platypterus|Lates Calcarifer|Lethrinus Spp|Loligo Spp|Mullus Barbatus|Nemipterus Japonicus|Ocyurus Chrysurus|Otra Pesca|Parupeneus Indicus|Portunus Pelagicus|Rachycentron Canadum|Rastrelliger Kanagurta|Rhizoprionodon Acutus|Scomberomorus Spp|Selaroides Leptolepis|Sillago Sihama|Sphyraena Spp|Stolephorus Indicus,-
2017,Q4,10,5,LK,GB,Heathrow,GB,GB,LK,Sri Lanka,GB,CVEDP,No,Human Consumption,2865.5,2383,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03028180|03028590|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03044990|03063390|03074220,Chanos Chanos,Acanthopagrus Spp|Acanthurus Monroviae|Carangidae|Caranx Spp|Chanos Chanos|Istiophorus Platypterus|Lates Calcarifer|Lethrinus Spp|Loligo Spp|Mullus Barbatus|Nemipterus Japonicus|Ocyurus Chrysurus|Otra Pesca|Parupeneus Indicus|Portunus Pelagicus|Rachycentron Canadum|Rastrelliger Kanagurta|Rhizoprionodon Acutus|Scomberomorus Spp|Selaroides Leptolepis|Sillago Sihama|Sphyraena Spp|Stolephorus Indicus,-
2017,Q4,10,5,LK,GB,Heathrow,GB,GB,LK,Sri Lanka,GB,CVEDP,No,Human Consumption,2865.5,2383,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03028180|03028590|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03044990|03063390|03074220,Lates Calcarifer,Acanthopagrus Spp|Acanthurus Monroviae|Carangidae|Caranx Spp|Chanos Chanos|Istiophorus Platypterus|Lates Calcarifer|Lethrinus Spp|Loligo Spp|Mullus Barbatus|Nemipterus Japonicus|Ocyurus Chrysurus|Otra Pesca|Parupeneus Indicus|Portunus Pelagicus|Rachycentron Canadum|Rastrelliger Kanagurta|Rhizoprionodon Acutus|Scomberomorus Spp|Selaroides Leptolepis|Sillago Sihama|Sphyraena Spp|Stolephorus Indicus,-
2017,Q4,10,5,LK,GB,Heathrow,GB,GB,LK,Sri Lanka,GB,CVEDP,No,Human Consumption,2865.5,2383,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03028180|03028590|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03044990|03063390|03074220,Lethrinus Spp,Acanthopagrus Spp|Acanthurus Monroviae|Carangidae|Caranx Spp|Chanos Chanos|Istiophorus Platypterus|Lates Calcarifer|Lethrinus Spp|Loligo Spp|Mullus Barbatus|Nemipterus Japonicus|Ocyurus Chrysurus|Otra Pesca|Parupeneus Indicus|Portunus Pelagicus|Rachycentron Canadum|Rastrelliger Kanagurta|Rhizoprionodon Acutus|Scomberomorus Spp|Selaroides Leptolepis|Sillago Sihama|Sphyraena Spp|Stolephorus Indicus,-
2017,Q4,10,5,LK,GB,Heathrow,GB,GB,LK,Sri Lanka,GB,CVEDP,No,Human Consumption,2865.5,2383,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03028180|03028590|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03044990|03063390|03074220,Mullus Barbatus,Acanthopagrus Spp|Acanthurus Monroviae|Carangidae|Caranx Spp|Chanos Chanos|Istiophorus Platypterus|Lates Calcarifer|Lethrinus Spp|Loligo Spp|Mullus Barbatus|Nemipterus Japonicus|Ocyurus Chrysurus|Otra Pesca|Parupeneus Indicus|Portunus Pelagicus|Rachycentron Canadum|Rastrelliger Kanagurta|Rhizoprionodon Acutus|Scomberomorus Spp|Selaroides Leptolepis|Sillago Sihama|Sphyraena Spp|Stolephorus Indicus,-
2017,Q4,10,5,LK,GB,Heathrow,GB,GB,LK,Sri Lanka,GB,CVEDP,No,Human Consumption,2865.5,2383,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03028180|03028590|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03044990|03063390|03074220,Nemipterus Japonicus,Acanthopagrus Spp|Acanthurus Monroviae|Carangidae|Caranx Spp|Chanos Chanos|Istiophorus Platypterus|Lates Calcarifer|Lethrinus Spp|Loligo Spp|Mullus Barbatus|Nemipterus Japonicus|Ocyurus Chrysurus|Otra Pesca|Parupeneus Indicus|Portunus Pelagicus|Rachycentron Canadum|Rastrelliger Kanagurta|Rhizoprionodon Acutus|Scomberomorus Spp|Selaroides Leptolepis|Sillago Sihama|Sphyraena Spp|Stolephorus Indicus,-
2017,Q4,10,5,LK,GB,Heathrow,GB,GB,LK,Sri Lanka,GB,CVEDP,No,Human Consumption,2865.5,2383,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03028180|03028590|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03044990|03063390|03074220,Ocyurus Chrysurus,Acanthopagrus Spp|Acanthurus Monroviae|Carangidae|Caranx Spp|Chanos Chanos|Istiophorus Platypterus|Lates Calcarifer|Lethrinus Spp|Loligo Spp|Mullus Barbatus|Nemipterus Japonicus|Ocyurus Chrysurus|Otra Pesca|Parupeneus Indicus|Portunus Pelagicus|Rachycentron Canadum|Rastrelliger Kanagurta|Rhizoprionodon Acutus|Scomberomorus Spp|Selaroides Leptolepis|Sillago Sihama|Sphyraena Spp|Stolephorus Indicus,-
2017,Q4,10,5,LK,GB,Heathrow,GB,GB,LK,Sri Lanka,GB,CVEDP,No,Human Consumption,2865.5,2383,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-05,2017,Q4,10,5,3028990,03024600|03028180|03028590|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03028990|03044990|03063390|03074220,Otra Pesca,Acanthopagrus Spp|Acanthurus Monroviae|Carangidae|Caranx Spp|Chanos Chanos|Istiophorus Platypterus|Lates Calcarifer|Lethrinus Spp|Loligo Spp|Mullus Barbatus|Nemipterus Japonicus|Ocyurus Chrysurus|Otra Pesca|Parupeneus Indicus|Portunus Pelagicus|Rachycentron Canadum|Rastrelliger Kanagurta|Rhizoprionodon Acutus|Scomberomorus Spp|Selaroides Leptolepis|Sillago Sihama|Sphyraena Spp|Stolephorus Indicus,-
